"","X","TargetID","ProbeID","AVG_Signal.C.1","AVG_Signal.C.2","AVG_Signal.C.3","AVG_Signal.L.1","AVG_Signal.L.2","AVG_Signal.L.3","AVG_Signal.M.1","AVG_Signal.M.2","AVG_Signal.M.3","AVG_Signal.H.1","AVG_Signal.H.2","AVG_Signal.H.3","FDR","P.Value","Slope"
"872",40538,"SHBG",3800053,160,177.5,152.9,157.5,156,163.5,156.6,152.5,140.2,131.2,139.6,134.3,0.0323156203774389,0.000441819123559431,-2.72650918635171
"162",5423,"CD99L2",1780079,706,557.2,563.2,577.9,621.6,498.3,539.1,398.4,492.5,393.1,359.2,401,0.0323260689314427,0.000443328164666363,-21.5931758530184
"364",11864,"GLRB",60603,546.2,485.8,465.6,421.3,477.8,446.5,372.2,314.7,384.1,337.5,303,375.1,0.0323260689314427,0.000442877842229944,-15.4257217847769
"316",10123,"FBXO32",1990079,528.7,471.8,439.5,367.4,373.1,401.9,331.7,297.6,324.9,302.8,274.3,312.6,0.032366588744754,0.000444567814468442,-15.9769028871391
"444",16640,"HSBP1",5130139,3684,3394.5,3190.9,2923,3405.3,3503.8,3215.5,2672.9,3161.1,2435.5,2439.7,2672.2,0.0323806395306431,0.000445469607084048,-86.3971128608925
"622",31685,"MCOLN3",6760706,159.8,145.2,143.5,141.2,157.9,144.8,131.6,127.1,134.7,125.3,122.4,127.5,0.0323806395306431,0.000446129302326127,-2.53753280839895
"309",9764,"FAM38A",4590390,1449.2,1312.4,1189.9,1148.9,1243.9,1137.2,1230,929.1,1109.5,930.3,920.7,894.4,0.0325550726811691,0.000449220515622497,-36.0406824146982
"254",8155,"DNAJC24",5890300,350.1,324.1,304.5,248,297.9,284.9,234.3,216,242.1,208.1,208.8,238.6,0.032572223599771,0.000452397131115574,-9.74146981627297
"489",17903,"KDSR",4860671,435.7,359.3,358,310,348.9,360.2,336.5,268.7,299.6,263,255.6,268.7,0.032572223599771,0.000452898656650029,-11.0637795275591
"581",27276,"LOC649150",780482,170.9,171.7,170,156.7,173.5,155.6,164.2,157.1,156,150.4,147.8,144.1,0.032572223599771,0.000451576827759691,-2.04776902887139
"789",37865,"PTAR1",6110646,664.3,565.6,503.5,440.3,506.2,517.1,441.7,329.4,403.2,344.4,331.1,361.1,0.032572223599771,0.000452774747958765,-21.3406824146982
"828",39269,"ROR1",3890132,272,243.7,256.3,239.3,265.8,223.8,242.5,205.2,224.2,194.1,198.3,207,0.032572223599771,0.000452539738163775,-5.39606299212599
"692",34453,"NRCAM",2750092,208.1,186.7,196.1,160,166.9,165.4,139.4,124.2,151.2,115.2,127.8,147.4,0.0326871128742511,0.000455186851723928,-5.94540682414699
"71",1832,"ASMTL",6760619,226.6,222.9,214.8,222.3,247.1,251.7,262.9,247.7,285.4,274.8,269.9,282.3,0.0327355478728905,0.000457244831138782,5.07034120734907
"941",42285,"SRPK2",2000468,254,238.1,211.8,215.8,253.1,234.9,217.3,169.5,201.4,158.1,162,182.3,0.0327355478728905,0.000456638436224926,-6.95249343832022
"568",24764,"LOC643319",5310632,472.6,391.1,390.4,411,448.1,439.3,543.3,552.6,481.3,563.6,516.1,631.9,0.0328514068901922,0.000459557326486217,15.5241469816273
"328",10463,"FLJ10781",6580400,603.7,534.5,472.4,446.9,515.4,551.4,478.1,381.5,457.9,350.1,374.2,370.8,0.0330237657511433,0.000462666286858568,-16.5031496062992
