"","TargetID","ProbeID","AVG_Signal.C.1","AVG_Signal.C.2","AVG_Signal.C.3","AVG_Signal.L.1","AVG_Signal.L.2","AVG_Signal.L.3","AVG_Signal.M.1","AVG_Signal.M.2","AVG_Signal.M.3","AVG_Signal.H.1","AVG_Signal.H.2","AVG_Signal.H.3","fdr[id, 1]","pval","slp"
"38905","RGS4",1710142,6.88202713040941,6.63948360005018,6.64418028187359,5.76925805661511,5.89577929697357,5.83012139669922,5.67983125383369,5.66087497364492,5.85076466500485,5.49388415009201,5.43938280682664,5.49347288132208,0.0387318004247656,0.00100424569704346,-0.098328590599954
"37406","PRC1",2070494,5.62112524097519,5.41164605185504,5.32007885832955,5.54478674316574,5.77424093830476,5.70010906928989,5.93462961035544,5.67297956550116,5.85964597248713,5.89934925820018,5.8805329864007,6.03524216945387,0.0388095010638058,0.00100708043248217,0.0431618586643159
"39999","SDAD1",6620441,7.48318817152253,7.39762280815665,7.25247909180112,7.20719298244477,7.1785454837637,7.29328975160142,7.10299306104264,6.88202713040941,7.13481116711626,6.993749472149,6.94428005366451,7.03966034986208,0.0388636067253765,0.00100930567938397,-0.0357554081551929
"18771","LARP1B",5910164,6.47543271670409,6.47989117593049,6.4072099646237,5.90071893380124,5.89989735358249,6.00905885550893,5.81173961616129,5.62184909189352,5.81948928236817,5.68459965523943,5.65003001865695,5.71965582381249,0.0390758756929247,0.00101564412869635,-0.0633952715916943
"39272","RORA",1110180,4.95371214669663,4.8895969657192,4.8613615913485,4.7518645651389,4.8023803552758,4.8613615913485,4.75874927391639,4.78665806203347,4.8146204101703,4.76046307039413,4.68767140749983,4.704110133843,0.0391231423330193,0.00101769938955575,-0.0154149030435989
"16641","HSCB",2030433,6.69851463283692,6.66593846240231,6.46614472423762,6.56300890590868,6.53320727350869,6.53320727350869,6.53204312902332,6.27231080855048,6.42194741819143,6.34176924403887,6.32238569059562,6.28804441649537,0.0391262162815561,0.00101860614202137,-0.028198169855205
"18392","KLHL5",1410161,7.30471767459855,7.02553831463852,6.93750823713148,6.82306847081494,6.91492948273014,6.89274315886163,6.71683687496266,6.51397167564781,6.79245665461867,6.59043840140067,6.51308173195217,6.66644775704026,0.0391659089260918,0.00102046712393279,-0.0453476076225071
"37288","PPP2R2C",3450047,6.04476831913029,5.89495364672714,5.82894561761021,5.64332450561909,5.73818390137353,5.65424202909607,5.50857829203123,5.30727710791951,5.51584517907661,5.33993904123886,5.48645530866343,5.46467890376326,0.0392533153221374,0.00102357397264581,-0.044463202702391
"10243","FEM1A",5890538,6.81058336722986,6.78558764500793,6.739099912952,6.54864880985199,6.6713998336957,6.68123101950845,6.62671774924902,6.38333770169668,6.5627265396778,6.44968022060168,6.43229679905344,6.51248799585042,0.0393120093072885,0.0010259352005262,-0.0279388253928489
"33534","MYST3",3930195,6.6325286477977,6.37706702611989,6.27193316504146,6.18332380838243,6.35280359717359,6.33859407820318,6.15994069707988,6.0340449946431,6.2385199184685,6.03380538759751,6.00190980496952,6.05326494801343,0.0393177569281043,0.0010273815299883,-0.0366787245723861
"38409","RAPGEF1",6270037,7.30276592918644,7.27316198984432,7.21362102186755,6.98767490215801,7.11354919196123,6.9781205416427,7.11346778856667,6.92647889298024,6.93711988761204,6.87945867982702,6.89436604186312,6.87481877873587,0.0393177569281043,0.00102774687403726,-0.0308787624762846
"32779","MLLT10",6510600,5.9646070929381,5.8027224225111,5.74907446384791,5.70111224610032,5.83597964426759,5.73204593992906,5.70144641485865,5.51221833649531,5.60727157427536,5.59136004524191,5.56566917252657,5.47980524259341,0.0393194544203412,0.00102938203624771,-0.0281087632271852
"46669","ZNF295",6060326,5.63228647295113,5.51019772558354,5.41432104230434,5.23909800688807,5.38541207339897,5.32398511329661,5.24597088617583,5.21927415920758,5.18906038061109,5.12396397940326,5.17727903817098,5.19017520792833,0.0393194544203412,0.00102945299382547,-0.030309956896193
"6751","CRMP1",360296,4.99111262760739,4.90601524496615,4.96772779308498,4.95793750509581,4.84497417819541,4.85748411460208,4.67095792652609,4.716711560721,4.77912349311153,4.68490515400694,4.72561633906396,4.76813901426623,0.0393813788461176,0.00103190646766236,-0.0225936166184525
"44889","TUBB2C",2070368,7.21971524389344,7.08890948802408,6.96479701934933,7.12335041253902,7.17564272410574,7.11679990591684,7.39104525255361,7.17717154262703,7.39633529380081,7.46845619224178,7.29247331394551,7.51952970107634,0.0394283778422038,0.00103397115360765,0.0334773062753718
"8109","DNAJB11",3190452,8.68550033682461,8.65265022879624,8.55531714950735,8.0074003674622,8.11324692927734,8.19770392431534,7.9001548371086,7.64185244587104,7.88859703191574,7.7621280530413,7.74513266521331,7.84990867038202,0.0395449715706001,0.00103787414042471,-0.0721410085249288
"22753","LOC388621",3370296,4.65491227788291,4.63569939102291,4.63083793273667,4.65109911787649,4.71133038181648,4.69134788222914,4.79247928429309,4.65491227788291,4.72827238312207,4.75272775034571,4.76898827121749,4.80073696953207,0.0395449715706001,0.00103869999074987,0.0122279014681002
"39673","RUSC2",2260577,5.44759906926379,5.427150238391,5.31123359181458,5.21493575760899,5.2406882537114,5.27453683788263,5.20510498482586,5.08636100462439,5.22251565313175,5.12871458216186,5.12455904041457,5.12693574979242,0.039581565724351,0.00104049759654064,-0.0229243427497361
"12960","HISPPD2A",1690333,5.91350300563827,5.86533426996377,5.69541422498568,5.73753957145433,5.71998385399421,5.75193751654325,5.70611308999448,5.58312029824897,5.66365468356542,5.65213824150386,5.50736199348274,5.54751845218154,0.0396678610289161,0.00104387924349179,-0.0234266872063333
"34742","OBSCN",1690040,5.12277279403311,5.07454861983991,5.01196773933003,5.04857313343665,5.03954663759068,5.10776200482698,5.02124547320827,4.94875989037817,4.96842344528695,4.81785927939844,4.97120122485085,4.92725368515721,0.0396678610289161,0.00104444255102232,-0.0167726597571503
"26925","LOC647954",6420674,6.76814832459572,6.53393417620843,6.49556762511315,6.46380918405569,6.85488178937507,6.54189542546633,7.09630738552673,6.72455333476088,7.0065140510054,7.05194219929463,7.04994904468531,7.23251634967534,0.0396812524636919,0.00104731070150141,0.0529812533824363
"31186","M6PRBP1",620008,8.55841190723219,8.45111748942131,8.29711992195925,8.50096217830582,8.63749749045967,8.65641585797354,8.60887862795075,8.49187538343195,8.7401127176387,8.82074369175236,8.78356480035796,8.90548501248152,0.0396812524636919,0.00104677547917781,0.0342914278528476
"36431","PI3",1050168,4.9337542497603,4.81785927939844,4.80484038111666,4.85203026391962,4.85515039125586,4.8354879410503,4.91705694713669,4.81218435537242,4.88884423704233,5.26476058301919,5.07141676635611,5.10594547390058,0.0396812524636919,0.00104689948319128,0.0283995191202259
"18565","KRT8",3370056,7.98221147777249,7.73385868679071,7.77863014732581,7.74287933843763,7.89073222405132,7.79437000174629,8.13604989545314,7.99930938383834,8.19538885327806,8.13955723522675,8.10967597918194,8.26490400249622,0.0397507526374617,0.00105127790427893,0.0373725255638337
